,978-7-5194-1289-0,,
我爱阳光 ,978-7-5502-8911-6, 2018-09: (3) 2018-08: (2) 2018-07: (1) 2018-06: (2) 2018-05: (9) ,"王府井书店:(3),西单图书大厦:(3),东单教育书店:(2)"
镜像人之末世如你 ,978-7-5502-8987-1, 2018-09: (4) 2018-08: (1) 2018-06: (2) 2018-05: (8) 2018-04: (3) ,"北京国际图书城:(16),王府井书店:(8),西四书店:(3),光明楼书店:(1)"
假面舞会 ,978-7-5378-4969-2, 2018-09: (3) 2018-06: (1) ,"北京国际图书城:(4),亚运村图书大厦:(4),西单图书大厦:(3),花市书店:(2),河滩书店:(3),西四书店:(2),和平里书店:(1),地安门书店:(1)"
一个人应该活得是自己并且干净 ,978-7-5502-9177-5, 2018-09: (4) 2018-08: (1) ,"北京国际图书城:(7),西单图书大厦:(3),亚运村图书大厦:(1),河滩书店:(3),光明楼书店:(2),和平里书店:(2),北京医药书店:(2),地安门书店:(1)"
人工智能-伏羲觉醒 ,978-7-205-08820-0, 2018-09: (3) 2018-08: (2) 2018-07: (1) ,"王府井书店:(3),北京国际图书城:(2),西单图书大厦:(2),和平里书店:(1),西四书店:(1)"
Minecraft DIY大事典 ,978-7-205-08665-7, 2018-09: (4) 2018-08: (3) 2018-07: (2) 2018-06: (2) 2018-05: (3) 2018-04: (5) ,"王府井书店:(4),中关村图书大厦:(3),北京国际图书城:(2),西单图书大厦:(2),劲松东口书店:(2)"
呼兰河传 ,978-7-5110-3567-7, 2018-10: (4) 2018-09: (7) 2018-08: (7) 2018-07: (15) ,"王府井书店:(3),西单图书大厦:(3),亚运村图书大厦:(3)"
十一倦-(全两册) ,978-7-5502-9781-4, 2018-09: (4) 2018-06: (3) ,"王府井书店:(9),北京国际图书城:(5),中关村图书大厦:(2),光明楼书店:(3),和平里书店:(2),西四书店:(1),地安门书店:(1)"
猎人笔记-(全译本) ,978-7-5110-3634-6, 2018-07: (1) 2018-03: (4) ,"北京国际图书城:(7),新街口书店:(2)"
地心游记-全译本 ,978-7-5110-3629-2,  ,"北京国际图书城:(4),西单图书大厦:(4)"
八十天环游地球-全译本 ,978-7-5110-3633-9, 2018-09: (3) 2018-08: (3) 2018-07: (9) 2018-04: (1) ,"亚运村图书大厦:(41),北京国际图书城:(21)"
塔罗女神探之茧镇奇缘 ,978-7-5110-3550-9, 2018-09: (3) ,"和平里书店:(2),西四书店:(2)"
塔罗女神探之名伶劫 ,978-7-5110-3728-2, 2018-09: (3) 2018-04: (2) ,"亚运村图书大厦:(2),和平里书店:(2),西四书店:(2),地安门书店:(1)"
塔罗女神探之幽冥街秘史 ,978-7-5110-3729-9, 2018-09: (3) ,"北京国际图书城:(3),中关村图书大厦:(1),西四书店:(2),地安门书店:(1)"
